id,title,description,availability,condition,price,link,image_link,brand,gtin,product_type,quantity_to_sell_on_facebook
"22821","Ibanez Jemjr-wh Steve Vai Signature Electric Guitar","Ibanez Jemjr-wh Steve Vai Signature Electric Guitar by Ibanez. Electric Guitar. Available at AKM Music Abu Dhabi — delivery across the UAE, WhatsApp ordering, showroom support since 1984.","out of stock","new","2199.00 AED","https://www.akm-music.com/shop.html?product=22821","https://www.akm-music.com/assets/products/22821.webp","Ibanez","4515276757894","Electric Guitar","0"
"22818","Ibanez Jemjrl-wh Electric Guitar Left Handed","Ibanez Jemjrl-wh Electric Guitar Left Handed by Ibanez. Electric Guitar. Available at AKM Music Abu Dhabi — delivery across the UAE, WhatsApp ordering, showroom support since 1984.","out of stock","new","2399.00 AED","https://www.akm-music.com/shop.html?product=22818","https://www.akm-music.com/assets/products/22818.webp","Ibanez","4515276893653","Electric Guitar","0"
"22819","Ibanez Jemjrsp-pk Electric Guitar","Ibanez Jemjrsp-pk Electric Guitar by Ibanez. Electric Guitar. Available at AKM Music Abu Dhabi — delivery across the UAE, WhatsApp ordering, showroom support since 1984.","in stock","new","2199.00 AED","https://www.akm-music.com/shop.html?product=22819","https://www.akm-music.com/assets/products/22819.webp","Ibanez","4549763029690","Electric Guitar","25"
"22826","Ibanez Jivajr-dse Electric Guitar","Ibanez Jivajr-dse Electric Guitar by Ibanez. Electric Guitar. Available at AKM Music Abu Dhabi — delivery across the UAE, WhatsApp ordering, showroom support since 1984.","out of stock","new","3399.00 AED","https://www.akm-music.com/shop.html?product=22826","https://www.akm-music.com/assets/products/22826.webp","Ibanez","4549763253163","Electric Guitar","0"
"22828","Ibanez JS140M-SDL Electric Guitar","Ibanez JS140M-SDL Electric Guitar by Ibanez. Electric Guitar. Available at AKM Music Abu Dhabi — delivery across the UAE, WhatsApp ordering, showroom support since 1984.","in stock","new","3899.00 AED","https://www.akm-music.com/shop.html?product=22828","https://www.akm-music.com/assets/products/22828.webp","Ibanez","4549763250902","Electric Guitar","25"
"22830","Ibanez JS1BKP Electric Guitar With Case","Ibanez JS1BKP Electric Guitar With Case by Ibanez. Electric Guitar. Available at AKM Music Abu Dhabi — delivery across the UAE, WhatsApp ordering, showroom support since 1984.","out of stock","new","14348.64 AED","https://www.akm-music.com/shop.html?product=22830","https://www.akm-music.com/assets/products/22830.webp","Ibanez","4549763349507","Electric Guitar","0"
"22834","Ibanez JS240PS-CA Electric Guitar","Ibanez JS240PS-CA Electric Guitar by Ibanez. Electric Guitar. Available at AKM Music Abu Dhabi — delivery across the UAE, WhatsApp ordering, showroom support since 1984.","out of stock","new","6999.00 AED","https://www.akm-music.com/shop.html?product=22834","https://www.akm-music.com/assets/products/22834.webp","Ibanez","4549763250919","Electric Guitar","0"
"22843","Ibanez JSM10EM-TTB Electric Guitar","Ibanez JSM10EM-TTB Electric Guitar by Ibanez. Electric Guitar. Available at AKM Music Abu Dhabi — delivery across the UAE, WhatsApp ordering, showroom support since 1984.","out of stock","new","3099.00 AED","https://www.akm-music.com/shop.html?product=22843","https://www.akm-music.com/assets/products/22843.webp","Ibanez","4549763359360","Electric Guitar","0"
"47109","Ibanez K7YANG Electric Guitar","Ibanez K7YANG Electric Guitar by Ibanez. 7 String Guitar. Available at AKM Music Abu Dhabi — delivery across the UAE, WhatsApp ordering, showroom support since 1984.","out of stock","new","7999.00 AED","https://www.akm-music.com/shop.html?product=47109","https://www.akm-music.com/assets/products/47109.webp","Ibanez","4549763375773","7 String Guitar","0"
"47110","Ibanez K7YIN Electric Guitar","Ibanez K7YIN Electric Guitar by Ibanez. 7 String Guitar. Available at AKM Music Abu Dhabi — delivery across the UAE, WhatsApp ordering, showroom support since 1984.","in stock","new","7999.00 AED","https://www.akm-music.com/shop.html?product=47110","https://www.akm-music.com/assets/products/47110.webp","Ibanez","4549763375780","7 String Guitar","25"
"22851","Ibanez KIKO10BP-TGB Electric Guitar","Ibanez KIKO10BP-TGB Electric Guitar by Ibanez. Electric Guitar. Available at AKM Music Abu Dhabi — delivery across the UAE, WhatsApp ordering, showroom support since 1984.","in stock","new","6599.00 AED","https://www.akm-music.com/shop.html?product=22851","https://www.akm-music.com/assets/products/22851.webp","Ibanez","4549763006066","Electric Guitar","25"
"22856","Ibanez KRYS10 Electric Guitar W/bag","Ibanez KRYS10 Electric Guitar W/bag by Ibanez. Electric Guitar. Available at AKM Music Abu Dhabi — delivery across the UAE, WhatsApp ordering, showroom support since 1984.","out of stock","new","6899.00 AED","https://www.akm-music.com/shop.html?product=22856","https://www.akm-music.com/assets/products/22856.webp","Ibanez","4549763344601","Electric Guitar","0"
"47198","Ibanez M300C Electric Guitar Cases","Ibanez M300C Electric Guitar Cases by Ibanez. Hard Cases. Available at AKM Music Abu Dhabi — delivery across the UAE, WhatsApp ordering, showroom support since 1984.","out of stock","new","999.00 AED","https://www.akm-music.com/shop.html?product=47198","https://www.akm-music.com/assets/products/47198.webp","Ibanez","4515276966838","Hard Cases","0"
"40295","Ibanez M510E-DVS Electric A-Style Mandolin - Dark Violin Sunburst High Gloss","Ibanez M510E-DVS Electric A-Style Mandolin - Dark Violin Sunburst High Gloss by Ibanez. Stringed Instrument. Available at AKM Music Abu Dhabi — delivery across the UAE, WhatsApp ordering, showroom support since 1984.","out of stock","new","870.00 AED","https://www.akm-music.com/shop.html?product=40295","https://www.akm-music.com/assets/products/40295.webp","Ibanez","4515110580121","Stringed Instrument","0"
"40781","Ibanez MB10BTB Prestige Hardcase for Btb Bass Guitars","Ibanez MB10BTB Prestige Hardcase for Btb Bass Guitars by Ibanez. Hard Cases. Available at AKM Music Abu Dhabi — delivery across the UAE, WhatsApp ordering, showroom support since 1984.","in stock","new","899.00 AED","https://www.akm-music.com/shop.html?product=40781","https://www.akm-music.com/assets/products/40781.webp","Ibanez","","Hard Cases","25"
"40782","Ibanez MB300C Roadtour Bass Guitar Case","Ibanez MB300C Roadtour Bass Guitar Case by Ibanez. Hard Cases. Available at AKM Music Abu Dhabi — delivery across the UAE, WhatsApp ordering, showroom support since 1984.","in stock","new","1199.00 AED","https://www.akm-music.com/shop.html?product=40782","https://www.akm-music.com/assets/products/40782.webp","Ibanez","4515276966821","Hard Cases","25"
"22867","Ibanez MDB5-OXB Electric Bass Guitar 4 String","Ibanez MDB5-OXB Electric Bass Guitar 4 String by Ibanez. Electric Bass Guitar. Available at AKM Music Abu Dhabi — delivery across the UAE, WhatsApp ordering, showroom support since 1984.","in stock","new","4299.00 AED","https://www.akm-music.com/shop.html?product=22867","https://www.akm-music.com/assets/products/22867.webp","Ibanez","4549763310606","Electric Bass Guitar","25"
"48844","Ibanez MDM1000-MAM Electric 4-ST. Bass W/ Bag (pgpbb)","Ibanez MDM1000-MAM Electric 4-ST. Bass W/ Bag (pgpbb) by Ibanez. Bass Guitar. Available at AKM Music Abu Dhabi — delivery across the UAE, WhatsApp ordering, showroom support since 1984.","in stock","new","4899.00 AED","https://www.akm-music.com/shop.html?product=48844","https://www.akm-music.com/assets/products/48844.webp","Ibanez","4549763377852","Bass Guitar","25"
"48845","Ibanez MDM1005-MAM Electric 5-ST. Bass W/ Bag (pgpbb)","Ibanez MDM1005-MAM Electric 5-ST. Bass W/ Bag (pgpbb) by Ibanez. Electric Bass Guitar. Available at AKM Music Abu Dhabi — delivery across the UAE, WhatsApp ordering, showroom support since 1984.","in stock","new","5399.00 AED","https://www.akm-music.com/shop.html?product=48845","https://www.akm-music.com/assets/products/48845.webp","Ibanez","4549763377876","Electric Bass Guitar","25"
"48846","Ibanez MDM1300-NAB Electric Bass W/ Bag (pgpbb)","Ibanez MDM1300-NAB Electric Bass W/ Bag (pgpbb) by Ibanez. Electric Bass Guitar. Available at AKM Music Abu Dhabi — delivery across the UAE, WhatsApp ordering, showroom support since 1984.","in stock","new","5399.00 AED","https://www.akm-music.com/shop.html?product=48846","https://www.akm-music.com/assets/products/48846.webp","Ibanez","4549763377906","Electric Bass Guitar","25"
"48847","Ibanez MDM1305-NAB Electric 5-ST. Bass W/ Bag (pgpbb)","Ibanez MDM1305-NAB Electric 5-ST. Bass W/ Bag (pgpbb) by Ibanez. Electric Bass Guitar. Available at AKM Music Abu Dhabi — delivery across the UAE, WhatsApp ordering, showroom support since 1984.","in stock","new","5799.00 AED","https://www.akm-music.com/shop.html?product=48847","https://www.akm-music.com/assets/products/48847.webp","Ibanez","4549763377913","Electric Bass Guitar","25"
